"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"init-1","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.251","1","EXECUTED","8:c335c4b03ca0759ce7dc22428ec3b6a6","createTable tableName=ipa_alerta","","","4.3.3","()","","4515668855"
"init-2","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.272","2","EXECUTED","8:5c0c5310db3082f9adc84fbf65552cb0","createTable tableName=ipa_carpeta","","","4.3.3","()","","4515668855"
"init-3","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.275","3","EXECUTED","8:18db80d9049aa465869ef9d5a76d0d99","createTable tableName=ipa_contingut","","","4.3.3","()","","4515668855"
"init-4","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.278","4","EXECUTED","8:7566e55e00c2e18c6b2ba64885695527","createTable tableName=ipa_cont_comment","","","4.3.3","()","","4515668855"
"init-5","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.282","5","EXECUTED","8:7b18beb8f854ea92c357dc005b48c8f9","createTable tableName=ipa_cont_log","","","4.3.3","()","","4515668855"
"init-6","","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.286","6","EXECUTED","8:e68c4093daafc96f7ad94ae14c270804","createTable tableName=ipa_cont_mov","","","4.3.3","()","","4515668855"
"init-7","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.289","7","EXECUTED","8:c4535303add7ab9069fd1f4c7e143068","createTable tableName=ipa_dada","","","4.3.3","()","","4515668855"
"init-8","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.294","8","EXECUTED","8:313516a5fc69d4f2781d332ec1d82280","createTable tableName=ipa_document","","","4.3.3","()","","4515668855"
"init-9","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.3","9","EXECUTED","8:b9cb8bc59c573db1274edd1ff6441fef","createTable tableName=ipa_document_enviament","","","4.3.3","()","","4515668855"
"init-10","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.304","10","EXECUTED","8:e513c569a9bf86675a8bf72acee48bf9","createTable tableName=ipa_document_enviament_dis","","","4.3.3","()","","4515668855"
"init-11","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.308","11","EXECUTED","8:2c503b00f58f0945a46631ebf50bcba9","createTable tableName=ipa_document_enviament_doc","","","4.3.3","()","","4515668855"
"init-12","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.314","12","EXECUTED","8:33a239de03b92b2994e3df0636c4e0de","createTable tableName=ipa_document_enviament_inter","","","4.3.3","()","","4515668855"
"init-13","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.319","13","EXECUTED","8:90c0e158672ad81c559b4a6a12abecd1","createTable tableName=ipa_domini","","","4.3.3","()","","4515668855"
"init-14","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.324","14","EXECUTED","8:e7cf8f7ce89e3f1a99a839f420ec5d50","createTable tableName=ipa_email_pendent_enviar","","","4.3.3","()","","4515668855"
"init-15","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.329","15","EXECUTED","8:c9f645c63c9df6ac3d1e6b893791911c","createTable tableName=ipa_entitat","","","4.3.3","()","","4515668855"
"init-16","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.334","16","EXECUTED","8:c1498d10a40b963afee3b628460d9fd7","createTable tableName=ipa_execucio_massiva","","","4.3.3","()","","4515668855"
"init-17","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.339","17","EXECUTED","8:f18c8ee6e2c110163f3873b0daaffd13","createTable tableName=ipa_expedient","","","4.3.3","()","","4515668855"
"init-18","limit (generated)","db/changelog/initial_schema_table.yaml","2021-06-24T08:21:09.344","18","EXECUTED","8:e2b43c0f8090e96d5ce122ae77585a32","createTable tableName=ipa_expedient_estat","","","4.3.3","()","","4515668855"
